"locationID","eventID","fieldNumber","year","day","month","samplingProtocol","habitat","samplingEffort","eventRemarks","waterBody","decimalLatitude","decimalLongitude","geodeticDatum","countryCode","location","country","verbatimElevation"
"http://www.geonames.org/10793774","95d868d6-1c6b-4686-a45e-7a57da19459d","Lepidurus_dam:_1_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 4","74.3231054","-20.184435","EPSG:4326","GL","Lille Sødal","Greenland","110"
"http://www.geonames.org/10793761","d7199c68-1985-494e-8ad4-010d3328e779","Lepidurus_dam:_2_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 10","74.3067914","-20.199207","EPSG:4327","GL","Lille Sødal","Greenland","46"
"http://www.geonames.org/10793755","d2c7ba64-c1e9-41bc-b2da-cda0e584b697","Lepidurus_dam:_3_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 8","74.310437","-20.094494","EPSG:4328","GL","Lille Sødal","Greenland","51"
"http://www.geonames.org/10793756","01421a15-d3a3-40f0-8577-d025a01fb8dc","Lepidurus_dam:_4_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 7","74.3134634","-20.113445","EPSG:4329","GL","Lille Sødal","Greenland","53"
"http://www.geonames.org/10793773","83888ae2-41dd-4656-91fe-bead0c7474f4","Lepidurus_dam:_5_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Finstaddammen","74.3164274","-20.09724","EPSG:4330","GL","Lille Sødal","Greenland","50"
"http://www.geonames.org/10793757","5cdfec49-6db8-4b63-9970-469adb7abdf4","Lepidurus_dam:_6_periode:_4_Date:_2013-8-6","2013","6","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 6","74.3188639","-20.10781","EPSG:4331","GL","Lille Sødal","Greenland","54"
"http://www.geonames.org/10793757","2e051d85-a224-45d6-b62d-13ca5df9e40f","Lepidurus_dam:_6_periode:_1_Date:_2013-7-20","2013","20","7","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 6","74.3188639","-20.10781","EPSG:4331","GL","Lille Sødal","Greenland","54"
"http://www.geonames.org/10793757","316c671c-0e9a-4987-9042-43ceeb957fc1","Lepidurus_dam:_6_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","8 z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 6","74.3188639","-20.10781","EPSG:4331","GL","Lille Sødal","Greenland","54"
"http://www.geonames.org/10793757","d7eee083-f7a4-41f5-be21-28b666732814","Lepidurus_dam:_6_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 6","74.3188639","-20.10781","EPSG:4331","GL","Lille Sødal","Greenland","54"
"http://www.geonames.org/10793758","a61adca6-0c72-489d-a640-8a9aa84c5d81","Lepidurus_dam:_7_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Dnb 5","74.3190352","-20.125934","EPSG:4332","GL","Lille Sødal","Greenland","46"
"http://www.geonames.org/10793760","c85b158e-d0e9-4c0a-92d1-ed8bcf3b57be","Lepidurus_dam:_8_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Nilsentjønna","74.3584902","-20.163928","EPSG:4333","GL","Lille Sødal","Greenland","181"
"http://www.geonames.org/10793759","9bd27eb5-e2f0-43a0-8854-39b9ba028295","Lepidurus_dam:_9_periode:_2_Date:_2013-7-25","2013","25","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Hendrichsensø","74.3604458","-20.169078","EPSG:4334","GL","Lille Sødal","Greenland","185"
"http://www.geonames.org/10793766","d46c6390-ea6f-47db-9d55-011de85ec686","Lepidurus_dam:_10_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Hjertesø","74.5086152","-20.628422","EPSG:4335","GL","Zackenberg vally ","Greenland","93"
"http://www.geonames.org/10793767","1b92a0be-d942-45b9-8ae5-a5bef21ce34e","Lepidurus_dam:_11_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Stensø","74.5067248","-20.628903","EPSG:4336","GL","Zackenberg vally ","Greenland","106"
"http://www.geonames.org/10793767","84217668-7d90-48e6-bbba-c3a80685dd8e","Lepidurus_dam:_11_periode:_2_Date:_2013-7-29","2013","29","7","sweep net (z-sweeps)","benthic","16 z-sweeps","eventTaxonomicRange:Notostraca spp.","Stensø","74.5067248","-20.628903","EPSG:4336","GL","Zackenberg vally ","Greenland","106"
"http://www.geonames.org/10793768","9c5ff115-5228-4bfe-a320-c2d9b4fe4fdc","Lepidurus_dam:_12_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Issø","74.5063182","-20.626967","EPSG:4337","GL","Zackenberg vally ","Greenland","140"
"http://www.geonames.org/10793768","efbf008a-e566-4073-8420-0b166e7167bf","Lepidurus_dam:_12_periode:_2_Date:_2013-7-29","2013","29","7","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Issø","74.5063182","-20.626967","EPSG:4337","GL","Zackenberg vally ","Greenland","140"
"http://www.geonames.org/10793765","9f8dc9b8-721b-4223-b538-179bf7972843","Lepidurus_dam:_13_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Boresø","74.5061893","-20.624924","EPSG:4338","GL","Zackenberg vally ","Greenland","148"
"http://www.geonames.org/10793765","22477041-4870-4677-b2c4-6b6bd0d1aa13","Lepidurus_dam:_13_periode:_2_Date:_2013-7-29","2013","29","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Boresø","74.5061893","-20.624924","EPSG:4338","GL","Zackenberg vally ","Greenland","148"
"http://www.geonames.org/10793769","76d54b05-3d69-4b7c-9989-b8e5d5d22246","Lepidurus_dam:_14_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Gniht Sø","74.5041389","-20.626247","EPSG:4339","GL","Zackenberg vally ","Greenland","183"
"http://www.geonames.org/10793769","c8556cda-c2e6-4363-82b6-3afa32ad5e17","Lepidurus_dam:_14_periode:_1_Date:_2013-7-19","2013","19","7","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Gniht Sø","74.5041389","-20.626247","EPSG:4339","GL","Zackenberg vally ","Greenland","183"
"http://www.geonames.org/10793771","36ae1aed-e1dc-465a-9f67-b131db8064c8","Lepidurus_dam:_15_periode:_1_Date:_2013-7-19","2013","19","7","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Thors Hammer","74.5027174","-20.628393","EPSG:4340","GL","Zackenberg vally ","Greenland","58"
"http://www.geonames.org/10793770","320e576a-370f-42ce-8180-b3a17738be96","Lepidurus_dam:_16_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","16 z-sweeps","eventTaxonomicRange:Notostraca spp.","Kathrine","74.5029974","-20.624329","EPSG:4341","GL","Zackenberg vally ","Greenland","72"
"http://www.geonames.org/10793763","43d12e70-a310-4387-bd96-21f3647dd670","Lepidurus_dam:_17_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Trap","74.5039461","-20.607943","EPSG:4342","GL","Zackenberg vally ","Greenland","71"
"http://www.geonames.org/10793764","12166a74-5471-4e2d-a586-cb950a423f13","Lepidurus_dam:_18_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Træsko","74.5044679","-20.603973","EPSG:4343","GL","Zackenberg vally ","Greenland","74"
"http://www.geonames.org/10793764","0aa6a907-c6ba-487b-b7dc-936575ab9986","Lepidurus_dam:_18_periode:_2_Date:_2013-7-29","2013","29","7","sweep net (z-sweeps)","benthic","8 z-sweeps","eventTaxonomicRange:Notostraca spp.","Træsko","74.5044679","-20.603973","EPSG:4343","GL","Zackenberg vally ","Greenland","74"
"http://www.geonames.org/10793762","6b4bc940-7937-4b77-8ceb-e334adef85e0","Lepidurus_dam:_19_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","16| z-sweeps","eventTaxonomicRange:Notostraca spp.","Langemandssø","74.5005618","-20.605042","EPSG:4344","GL","Zackenberg vally ","Greenland","101"
"http://www.geonames.org/10793702","5a067911-37d2-4d9f-aaf8-8bde6cc9c4b2","Lepidurus_dam:_20_periode:_4_Date:_2013-8-10","2013","10","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Sommerfuglesø","74.4986804","-20.600497","EPSG:4345","GL","Zackenberg vally ","Greenland","109"
"http://www.geonames.org/10793701","47bd37ad-d92f-4ca5-bffb-56ebe72c2ec0","Lepidurus_dam:_21_periode:__Date:_2013-8-11","2013","11","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Gedkæret","74.477994","-20.553879","EPSG:4346","GL","Zackenberg vally ","Greenland","38"
"http://www.geonames.org/10793701","a26592eb-ff62-4804-9130-ec4f64b5d868","Lepidurus_dam:_21_periode:_4_Date:_2013-8-5","2013","5","8","sweep net (z-sweeps)","benthic","8| z-sweeps","eventTaxonomicRange:Notostraca spp.","Gedkæret","74.477994","-20.553879","EPSG:4346","GL","Zackenberg vally ","Greenland","38"
